SH_ID,C_ID,C_NAME,C_EMAIL_ID,C_CONT_NO,C_ADDR,C_TYPE,M_ID,Start_date,End_date,Employee_ID,Employee_Name,Employee_Designation,Employee_Branch,Employee_Address,Employee_Contact,SH_CONTENT,SH_DOMAIN,SER_TYPE,SH_WEIGHT,SH_CHARGES,SR_ADDR,DS_ADDR,Status,Sent_Date,Delivery_Date,delivery_days,is_delivered,is_cancelled,is_ontime,Payment_ID,Payment_Status,Payment_Date,Amount
690,230,Mitchell,Harriette42@ymail.com,9961255787,2100 Block of 27TH AV,Internal Goods,31,1979-11-05,1983-05-16,582,Harriette,Market analyst,TX,600 Block of PINE ST,2754220306,Healthcare,Domestic,Regular,553,1210,1800 Block of 26TH ST,1200 Block of JACKSON ST,DELIVERED,2014-04-28,2014-12-18,234.0,True,False,False,313cd69e-66f3-11ea-9879-7077813058ce,PAID,2014-12-18,49302
933,3189,Reginald,Matthew951@yahoo.co.in,3555176867,300 Block of ELLIS ST,Wholesale,495,2014-09-26,2034-04-11,396,Matthew,Chief finance officer,MA,EDDY ST / MASON ST,4171197971,Healthcare,International,Express,810,1114,2600 Block of ALEMANY BL,700 Block of HAMPSHIRE ST,DELIVERED,1997-06-14,1997-07-10,26.0,True,False,False,313dc140-66f3-11ea-a952-7077813058ce,PAID,1997-07-10,78698
261,2216,Jaylene,Geraldine867@ymail.co.in,9835395970,1000 Block of MISSION ST,Retail,795,1983-10-23,2002-07-13,545,Geraldine,Transport manager,CT,800 Block of BRYANT ST,8354987185,Luggage,Domestic,Express,994,1020,BARTLETT ST / 23RD ST,500 Block of HAIGHT ST,NOT DELIVERED,1993-08-14,,,False,True,False,313eab1e-66f3-11ea-81af-7077813058ce,NOT PAID,,69417
445,1904,Stacie,Brenda905@ymail.com,3881250181,800 Block of BRYANT ST,Internal Goods,33,1994-06-06,2012-06-01,770,Brenda,Warehouse manager,UT,3300 Block of JUDAH ST,6348759218,Home Furnishing,Domestic,Express,598,1351,1300 Block of 7TH AV,300 Block of 9TH ST,NOT DELIVERED,2019-12-13,,,False,True,False,313f474a-66f3-11ea-a78b-7077813058ce,NOT PAID,,39655
722,7342,Jonathan,Malie282@gmail.com,1507211823,0 Block of DRUMM ST,Wholesale,882,2001-06-02,2014-07-26,991,Malie,Branch manager,OH,3200 Block of GEARY BL,5096424869,Electronics,International,Express,412,566,0 Block of EUREKA ST,1800 Block of VANNESS AV,NOT DELIVERED,1996-09-21,,,False,True,False,3140589a-66f3-11ea-a057-7077813058ce,NOT PAID,,87400
129,7633,Italia,Fred847@google.co.in,5612381477,3RD ST / FOLSOM ST,Internal Goods,657,1986-06-20,2006-07-22,437,Fred,Project director,MO,VANNESS AV / MARKET ST,2378946703,Food and Beverages,Domestic,Regular,379,590,700 Block of VANNESS AV,500 Block of LEAVENWORTH ST,DELIVERED,1971-04-23,1971-11-01,192.0,True,False,False,31411bc8-66f3-11ea-a4b7-7077813058ce,PAID,1971-11-01,56881
489,2154,Catherine,Clay224@gmail.com,8094222335,GOLDEN GATE AV / PARKER AV,Wholesale,761,1974-03-11,1980-10-27,805,Clay,HR manager,SD,1000 Block of BOSWORTH ST,8374022176,Fashion,Domestic,Regular,892,1407,200 Block of BERRY ST,CARROLL AV / JENNINGS ST,NOT DELIVERED,2005-12-21,,,False,True,False,3141defa-66f3-11ea-b10e-7077813058ce,NOT PAID,,99239
165,5543,Pierre,Alaysha578@hotmail.com,4133741447,1400 Block of DEHARO ST,Wholesale,20,1971-11-24,1984-11-24,803,Alaysha,Material handling executive,UT,800 Block of GEARY ST,5698225463,Industrial Equipments,Domestic,Regular,347,786,1100 Block of FRANCISCO ST,1000 Block of MARKET ST,NOT DELIVERED,1979-07-03,,,False,True,False,3142c940-66f3-11ea-9f69-7077813058ce,NOT PAID,,23921
164,2332,Sheryl,Kelli519@gmail.com,4399641006,FOLSOM ST / 3RD ST,Retail,356,2009-05-31,2014-10-02,295,Kelli,Non-executive director,OH,BAY SHORE BL / JERROLD AV,1948808609,Hazardous Goods,International,Express,457,855,100 Block of NEWMONTGOMERY ST,600 Block of SOUTH VAN NESS AV,NOT DELIVERED,1976-04-29,,,False,True,False,31444fa8-66f3-11ea-912a-7077813058ce,NOT PAID,,67599
364,4094,Rory,Ryker154@hotmail.com,7077259810,0 Block of THRIFT ST,Internal Goods,301,2018-03-24,2035-12-29,804,Ryker,Market analyst,HI,400 Block of LEAVENWORTH ST,5155277679,Automotive,International,Express,957,1182,200 Block of SCOTT ST,2600 Block of MISSION ST,NOT DELIVERED,2012-03-03,,,False,True,False,314539e6-66f3-11ea-bfa4-7077813058ce,NOT PAID,,3725
469,3042,Cecile,Johnnie593@hotmail.com,1634188566,100 Block of GOLDEN GATE AV,Wholesale,450,1973-09-07,1983-01-08,54,Johnnie,In House logistics executive,RI,100 Block of BRITTON ST,8682770474,Electronics,International,Regular,23,25,BELVEDERE ST / WALLER ST,0 Block of CEDAR ST,DELIVERED,1991-02-18,1991-05-15,86.0,True,False,False,3145fd0a-66f3-11ea-958b-7077813058ce,PAID,1991-05-15,95516
